path,source,author,rights_note,status,width,height,format,sha256,prompt_source
fighters/rook/identity.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1536,1024,RGB,47dcd50976a1e15ddaacc78781ba331c3ab000cefec9177ea7894dfc876bd626,fighters/rook/README.md
fighters/rook/universal.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1254,1254,RGB,526e3635404efd769c4cf41c1d57d2d63397a5beb1974688e09213fa18df9e4b,fighters/rook/README.md
fighters/rook/normals.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1024,1536,RGB,c71f5c3abff5f1c0c4a41c0852acbe70833e44daec28f1ca8d8d07e47876bcc2,fighters/rook/README.md
fighters/rook/techniques.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1254,1254,RGB,f34eff09b6cb68d5474a48c53b8cb423f21caa0e26a381a898ab72b9f2f5a890,fighters/rook/README.md
fighters/rook/supplemental.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1024,1536,RGB,dbb8a5b1cf9247afad62e7fae1dc0f5109ebc3d6fc0dc602fa4e21900ea839e3,fighters/rook/README.md
fighters/vale/identity.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1536,1024,RGB,09ea7773966d7f6dc3f56f290402bebc8ac239b64f3687fb76ab44312690941a,fighters/vale/README.md
fighters/vale/universal.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1254,1254,RGB,1dbda5756d08ec0b6a215919a4aeacf0333ced939bc833297e9decae21b0199e,fighters/vale/README.md
fighters/vale/normals.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1086,1448,RGB,eeb78892bca260d76f4676730e339c6a0b23f3b12453f7f609bc4f222e4a6589,fighters/vale/README.md
fighters/vale/techniques.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1254,1254,RGB,953778575323b809084725447f0770be3ea19d240d2960a7f926f7f964ef5bc0,fighters/vale/README.md
fighters/vale/supplemental.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1086,1448,RGB,00fecc70c75c3e65322f7d05225298d627d29de493608193336f7865dcfbe7de,fighters/vale/README.md
stages/foundry.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1672,941,RGB,a166535fed3a237aad4394fce94a528e5b5da92a96b46121687bf3ef3ba7fae0,docs/main-prompts.json
stages/grid.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1672,941,RGB,0c7377fbeec22bc70aa9cd683f9ca48ef6deb20c233babaef0b296055307950b,docs/main-prompts.json
stages/environment-atlas.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1536,1024,RGBA,3533ed9a95cd3c7a3eb24ec0042ed2410b26cce65497acb0b0c4d86ee70d0fd9,docs/main-prompts.json
effects/combat-atlas.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1254,1254,RGBA,7a7ad2e12bd640c0747fc9c77aa0b358925b8f0a1a6632a9d43d3196cbe6ae28,docs/main-prompts.json
ui/title-backdrop.png,Original built-in image_gen generation/edit,OpenAI ImageGen; art direction by Codex for this project,Generated for this project; no third-party artwork supplied as source. No separate font license or public-domain claim.,selected_design_source_not_runtime_animation,1672,941,RGB,d7336aca471a0138594b110ef6b249e1351d5d85c18f81980f4e611226ef021c,docs/main-prompts.json
